id,open,close,high,low,volume,Day,Month,Year
102,3819.2,3722.8,4038.2,3555.0,175652.5,13,05,2021
103,4172.7,3833.31,4373.0,3759.1,167378.24,12,05,2021
104,3945.1,4172.7,4177.2,3767.07,79257.96,11,05,2021
105,3926.9,3945.5,4207.6,3666.3,140582.32,10,05,2021
106,3910.9,3926.0,3980.0,3724.1,64066.68,09,05,2021
107,3482.2,3911.7,3953.2,3452.0,96491.33,08,05,2021
108,3491.7,3481.49,3586.8,3356.7,49192.62,07,05,2021
109,3410.4,3491.4,3599.0,3380.0,89208.94,06,05,2021
110,3241.9,3348.7,3409.9,3207.8,33480.38,05,05,2021
111,3429.65,3240.5,3524.0,3175.0,145833.0,04,05,2021
112,2949.7,3427.3,3445.0,2949.7,118168.96,03,05,2021
113,2944.0,2949.7,2981.4,2851.0,32282.38,02,05,2021
114,2769.4,2943.8,2950.5,2752.2,61256.63,01,05,2021
115,2758.3,2769.4,2798.7,2725.2,35472.54,30,04,2021
116,2718.2,2758.6,2796.1,2671.1,56500.37,29,04,2021
117,2536.9,2536.9,2536.9,2536.9,0.01,27,04,2021
118,2322.8,2537.0,2544.9,2306.3,69530.99,26,04,2021
119,2218.2,2322.8,2360.2,2167.6,92306.96,25,04,2021
120,2368.8,2218.6,2368.9,2162.1,68236.73,24,04,2021
121,2399.4,2367.9,2441.9,2111.3,192502.09,23,04,2021
122,2356.1,2399.3,2642.0,2305.2,195662.57,22,04,2021
123,2329.6,2356.7,2466.32,2236.38,139470.1,21,04,2021
124,2160.53,2329.9,2345.9,2055.0,141225.24,20,04,2021
125,2237.4,2160.0,2277.0,2077.8,74286.86,19,04,2021
126,2313.7,2237.1,2335.8,1926.0,235282.69,18,04,2021
127,2422.4,2313.6,2494.5,2310.5,66874.97,17,04,2021
128,2516.6,2422.5,2544.0,2298.6,101986.35,16,04,2021
129,2429.9,2516.4,2544.0,2397.2,73451.06,15,04,2021
130,2296.2,2429.9,2444.9,2281.1,83931.71,14,04,2021
131,2138.2,2296.7,2316.2,2137.1,93340.41,13,04,2021
132,2152.9,2138.2,2203.9,2101.9,50273.74,12,04,2021
133,2136.7,2152.8,2166.9,2115.6,34324.23,11,04,2021
134,2068.2,2136.1,2200.0,2059.1,74549.69,10,04,2021
135,2081.4,2067.4,2100.6,2051.8,66756.75,09,04,2021
136,1964.5,2081.4,2084.0,1950.0,31837.68,08,04,2021
137,2113.0,1964.9,2127.9,1930.0,74396.2,07,04,2021
138,2108.3,2112.1,2151.3,2042.1,58643.02,06,04,2021
139,2077.5,2107.4,2131.6,1998.7,66310.69,05,04,2021
140,2007.1,2077.4,2092.0,1979.6,42193.19,04,04,2021
141,2132.9,2007.6,2137.6,2001.0,75406.33,03,04,2021
142,1967.8,2133.1,2142.7,1948.8,86037.83,02,04,2021
143,1919.3,1967.8,1982.0,1888.0,62088.8,01,04,2021
144,1843.9,1919.3,1948.52,1772.3,63264.23,31,03,2021
145,1818.2,1843.9,1861.0,1788.7,29348.37,30,03,2021
146,1686.2,1818.2,1839.0,1677.1,69624.0,29,03,2021
147,1713.8,1687.2,1727.7,1662.2,18450.37,28,03,2021
148,1698.5,1713.9,1733.8,1667.4,24907.95,27,03,2021
149,1587.7,1698.5,1699.0,1587.7,69193.5,26,03,2021
150,1585.8,1587.6,1620.5,1548.3,90389.42,25,03,2021
151,1668.4,1585.8,1740.9,1546.0,162096.65,24,03,2021
152,1682.0,1669.1,1720.4,1650.6,32883.79,23,03,2021
153,1784.6,1682.0,1808.29,1656.0,99602.18,22,03,2021
154,1803.9,1784.3,1815.9,1745.26,105079.19,21,03,2021
155,1809.2,1804.6,1871.97,1801.0,27034.77,20,03,2021
156,1776.4,1809.8,1842.02,1733.3,41962.45,19,03,2021
157,1821.9,1775.3,1849.2,1759.34,38170.55,18,03,2021
158,1805.8,1821.7,1833.9,1741.8,237317.19,17,03,2021
159,1796.7,1805.0,1824.2,1723.2,176198.97,16,03,2021
160,1847.97,1796.0,1889.9,1735.6,210988.98,15,03,2021
161,1922.9,1847.97,1933.0,1840.0,52914.92,14,03,2021
162,1768.7,1921.9,1943.6,1730.0,91402.49,13,03,2021
163,1829.9,1768.7,1845.7,1720.8,76597.9,12,03,2021
164,1797.6,1829.9,1849.9,1730.9,70060.34,11,03,2021
165,1873.3,1796.8,1879.2,1761.1,128663.08,10,03,2021
166,1833.4,1873.3,1873.3,1801.0,65973.49,09,03,2021
167,1726.3,1833.6,1841.8,1666.6,81095.54,08,03,2021
168,1650.2,1727.9,1734.0,1632.7,51190.33,07,03,2021
169,1533.2,1650.6,1670.7,1514.1,267428.94,06,03,2021
170,1540.9,1531.7,1551.0,1445.1,126631.0,05,03,2021
171,1570.2,1539.28,1626.6,1507.4,115151.7,04,03,2021
172,1489.1,1570.0,1658.0,1478.1,72733.75,03,03,2021
173,1569.9,1489.7,1601.0,1457.8,110386.9,02,03,2021
174,1423.8,1569.8,1571.3,1413.9,178355.3,01,03,2021
175,1459.2,1424.4,1471.3,1296.5,170989.99,28,02,2021
176,1444.3,1460.9,1527.1,1427.9,78150.97,27,02,2021
177,1485.3,1446.2,1561.8,1400.1,259820.31,26,02,2021
178,1624.2,1485.8,1672.3,1460.2,170995.66,25,02,2021
179,1576.6,1624.4,1709.4,1499.1,219384.71,24,02,2021
180,1775.9,1577.0,1779.8,1360.1,467317.9,23,02,2021
181,1933.0,1774.2,1934.9,1550.0,268133.99,22,02,2021
182,1911.1,1932.9,1978.7,1882.1,79849.2,21,02,2021
183,1955.7,1911.7,2036.8,1780.0,194848.53,20,02,2021
184,1938.2,1955.41,1971.1,1891.1,129221.58,19,02,2021
185,1848.7,1937.5,1948.85,1848.7,71896.24,18,02,2021
186,1783.71,1848.7,1856.9,1735.3,81646.32,17,02,2021
187,1778.5,1784.6,1828.3,1725.0,106270.69,16,02,2021
188,1802.1,1779.43,1837.13,1649.0,166031.08,15,02,2021
189,1816.8,1801.2,1853.3,1781.3,57058.21,14,02,2021
190,1842.5,1814.8,1874.1,1762.08,79361.27,13,02,2021
191,1787.1,1842.4,1865.1,1740.0,123141.85,12,02,2021
192,1742.5,1787.7,1821.9,1705.0,92092.08,11,02,2021
193,1771.8,1742.1,1838.7,1678.1,179636.24,10,02,2021
194,1755.0,1771.9,1826.9,1710.64,202575.84,09,02,2021
195,1613.4,1754.85,1784.2,1563.4,252210.27,08,02,2021
196,1677.0,1612.0,1692.7,1486.8,179051.7,07,02,2021
197,1717.5,1676.9,1742.7,1646.6,118750.82,06,02,2021
198,1596.2,1717.7,1760.0,1590.8,227509.3,05,02,2021
199,1662.5,1595.1,1695.8,1559.0,193599.59,04,02,2021
200,1515.8,1663.1,1667.1,1512.4,238854.74,03,02,2021
201,1376.3,1515.7,1550.0,1363.4,219566.58,02,02,2021
202,1313.6,1375.9,1378.9,1271.0,105346.1,01,02,2021
203,1379.7,1314.23,1381.8,1284.1,117897.89,31,01,2021
204,1381.18,1379.7,1408.3,1325.3,117105.79,30,01,2021
205,1328.78,1379.1,1443.0,1286.6,535380.49,29,01,2021
206,1240.4,1328.6,1361.3,1220.5,370296.41,28,01,2021
207,1367.0,1239.9,1374.9,1209.0,444993.29,27,01,2021
208,1317.4,1367.57,1378.2,1246.9,388125.57,26,01,2021
209,1395.4,1317.9,1480.0,1295.0,317531.87,25,01,2021
210,1233.6,1394.5,1400.0,1220.8,313524.44,24,01,2021
211,1235.7,1233.5,1275.0,1197.8,109140.5,23,01,2021
212,1111.5,1235.9,1276.0,1048.9,442308.31,22,01,2021
213,1378.25,1111.8,1389.0,1084.1,457126.45,21,01,2021
214,1366.0,1378.1,1409.3,1234.0,259022.03,20,01,2021
215,1261.7,1367.39,1439.8,1254.43,307266.79,19,01,2021
216,1235.2,1261.0,1263.2,1184.5,115185.06,18,01,2021
217,1228.9,1235.2,1273.09,1163.4,151161.88,17,01,2021
218,1167.6,1228.9,1295.01,1152.1,180684.31,16,01,2021
219,1231.4,1167.7,1255.0,1072.0,244723.55,15,01,2021
220,1128.1,1229.88,1245.9,1086.0,249984.18,14,01,2021
221,1051.7,1128.1,1135.4,987.44,241838.92,13,01,2021
222,1087.0,1052.3,1150.5,1009.1,275542.81,12,01,2021
223,1255.9,1087.0,1261.18,923.0,775273.94,11,01,2021
224,1279.4,1256.1,1351.0,1170.0,262351.5,10,01,2021
225,1214.6,1278.9,1306.8,1171.0,181106.46,09,01,2021
226,1221.5,1214.2,1274.9,1060.8,252723.47,08,01,2021
227,1209.4,1221.6,1290.0,1143.3,284948.25,07,01,2021
228,1102.5,1209.4,1213.3,1058.9,965577.25,06,01,2021
229,1041.2,1101.6,1134.1,968.29,378135.29,05,01,2021
230,976.86,1042.6,1159.4,860.0,725975.98,04,01,2021
231,774.82,977.47,1009.4,769.9,528911.81,03,01,2021
232,729.46,774.21,786.36,714.89,137274.82,02,01,2021
233,736.22,729.46,749.13,716.2,59183.05,01,01,2021
234,752.54,735.88,755.28,713.42,79273.55,31,12,2020
235,730.31,752.25,757.67,716.52,89535.52,30,12,2020
236,729.51,730.17,739.68,689.07,100962.78,29,12,2020
237,684.06,729.51,747.15,680.96,189188.34,28,12,2020
238,635.86,684.34,711.0,622.14,261659.62,27,12,2020
239,627.91,635.5,650.53,615.01,115498.74,26,12,2020
240,612.56,627.51,634.6,580.0,98507.03,25,12,2020
241,584.71,612.67,615.0,565.12,68570.05,24,12,2020
242,636.18,584.91,637.19,547.8,154243.47,23,12,2020
243,607.61,636.19,636.8,586.43,77327.15,22,12,2020
244,636.9,607.39,647.65,593.62,133732.34,21,12,2020
245,657.91,637.14,660.5,620.4,77629.14,20,12,2020
246,654.72,657.91,670.68,645.21,70008.55,19,12,2020
247,641.99,654.19,664.71,628.38,69948.31,18,12,2020
248,636.45,641.74,674.0,625.82,322839.3,17,12,2020
249,589.65,636.3,637.45,581.6,177259.79,16,12,2020
250,586.52,589.64,598.12,579.39,42533.25,15,12,2020
251,591.19,586.52,592.07,576.22,23374.66,14,12,2020
252,568.1,591.1,595.84,563.58,46853.14,13,12,2020
253,544.96,568.24,574.05,543.9,33189.45,12,12,2020
254,559.23,544.93,560.7,535.45,60768.29,11,12,2020
255,573.61,559.02,575.61,548.72,36929.66,10,12,2020
256,554.89,573.64,589.0,532.01,86444.13,09,12,2020
257,592.02,555.03,595.71,550.15,56939.78,08,12,2020
258,602.69,591.82,603.8,584.78,37365.83,07,12,2020
259,597.54,602.69,607.19,583.42,49687.73,06,12,2020
260,567.15,597.21,598.0,558.86,55935.62,05,12,2020
261,616.42,567.66,620.61,565.08,168950.44,04,12,2020
262,597.88,616.66,624.5,586.38,80474.9,03,12,2020
263,587.03,598.0,606.26,575.89,80671.02,02,12,2020
264,616.0,587.03,636.33,562.48,329184.7,01,12,2020
265,576.37,616.0,616.0,570.04,162052.83,30,11,2020
266,538.08,576.37,576.68,531.2,55396.2,29,11,2020
267,519.54,538.14,548.29,507.88,51930.68,28,11,2020
268,521.69,519.55,533.08,495.25,108385.36,27,11,2020
269,569.5,521.5,577.26,483.43,376086.28,26,11,2020
270,604.18,569.6,605.0,555.05,99477.6,25,11,2020
271,608.42,604.11,621.47,587.73,166709.09,24,11,2020
272,558.0,608.32,609.53,549.6,228933.44,23,11,2020
273,551.42,558.0,579.8,512.0,250240.43,22,11,2020
274,510.05,551.19,551.69,502.2,194450.2,21,11,2020
275,471.44,510.3,513.74,470.86,142063.33,20,11,2020
276,478.56,471.58,480.85,463.34,39368.14,19,11,2020
277,482.52,478.46,495.07,457.5,203343.41,18,11,2020
278,460.66,482.51,484.36,460.23,86360.99,17,11,2020
279,448.42,460.45,466.28,446.05,47303.61,16,11,2020
280,460.54,448.5,462.65,440.26,57120.34,15,11,2020
281,476.3,460.53,477.27,451.8,70908.36,14,11,2020
282,462.45,476.13,477.0,457.15,88925.73,13,11,2020
283,463.81,462.37,471.15,451.99,84495.08,12,11,2020
284,450.59,463.81,476.86,449.75,101448.77,11,11,2020
285,444.54,450.65,455.41,439.27,45759.75,10,11,2020
286,455.02,444.53,459.09,434.17,70622.83,09,11,2020
287,435.95,455.09,460.26,432.88,67797.44,08,11,2020
288,455.65,435.96,467.75,426.3,234635.88,07,11,2020
